participant_id,condition,reaction_time,major_errors,minor_erros,clicks,findability,clarity,intuitiveness,knowledge_independence,group
2,A,9837,0,0,5,6,7,7,7,0
2,B,14146,0,0,5,7,7,7,7,0
3,A,10182,0,0,3,7,7,7,7,0
3,B,5262,0,0,3,7,7,7,7,0
12,A,32099,0,0,17,6,7,7,7,0
12,B,12882,0,0,8,7,7,7,7,0
5,A,17538,0,0,3,5,6,7,7,0
5,B,11133,0,0,5,7,7,7,7,0
11,A,24982,1,0,6,7,6,7,7,0
11,B,9008,0,0,3,7,7,7,7,0
7,A,98109,0,6,12,4,7,7,7,1
7,B,5047,0,0,4,6,7,4,7,1
10,A,11261,0,0,3,7,7,4,7,1
10,B,59852,1,0,7,7,7,7,7,1
6,A,15583,0,0,3,5,7,7,7,1
6,B,2314,0,0,3,5,7,7,7,1
8,A,8334,0,0,5,7,7,7,7,1
8,B,9751,0,0,5,6,7,7,7,1
9,A,151136,1,0,35,7,6,7,7,1
9,B,8116,0,0,3,7,6,7,7,1
4,A,11358,0,0,5,7,7,7,7,0
4,B,8316,0,0,5,7,7,7,7,0
1,A,10994,1,0,6,6,6,7,7,0
1,B,6470,0,0,5,7,7,7,7,0
